Data Set 1:Time(s),Data Set 1:Sound level A-weighted(dB),Data Set 1:Sound level C-weighted(dB)
0.0,66.6,76.8
0.1,63.9,77.0
0.2,62.9,74.0
0.3,64.1,74.7
0.4,63.3,72.3
0.5,62.5,70.5
0.6,64.0,65.0
0.7,64.8,65.5
0.8,63.2,68.8
0.9,68.0,70.3
1.0,65.9,71.8
1.1,67.6,71.6
1.2,64.3,69.5
1.3,69.6,72.7
1.4,65.1,73.1
1.5,65.2,70.2
1.6,66.0,70.2
1.7,64.3,68.3
1.8,67.7,69.0
1.9,65.3,68.6
2.0,66.3,72.5
2.1,64.0,75.0
2.2,62.9,74.7
2.3,63.2,72.9
2.4,68.2,72.2
2.5,65.2,68.7
2.6,61.9,71.1
2.7,61.9,70.6
2.8,62.5,68.8
2.9,61.1,70.0
3.0,62.9,71.2
3.1,62.2,72.3
3.2,62.4,73.9
3.3,63.2,69.6
3.4,60.5,68.8
3.5,62.5,72.5
3.6,61.3,73.0
3.7,63.3,74.6
3.8,62.7,74.3
3.9,65.5,74.1
4.0,63.4,73.0
4.1,67.6,72.1
4.2,72.5,72.3
4.3,62.5,68.5
4.4,63.6,66.9
4.5,64.7,65.5
4.6,71.9,74.4
4.7,66.1,69.9
4.8,67.0,73.1
4.9,66.7,73.4
5.0,60.2,73.8
5.1,65.6,72.1
5.2,64.8,73.8
5.3,68.6,73.7
5.4,62.6,72.3
5.5,62.8,74.2
5.6,66.4,71.9
5.7,65.6,72.0
5.8,63.8,77.2
5.9,64.0,70.1
6.0,67.1,70.4
6.1,67.1,76.0
6.2,79.3,78.2
6.3,82.8,81.6
6.4,78.0,77.2
6.5,99.2,97.4
6.6,92.2,90.4
6.7,96.7,95.3
6.8,93.0,92.2
6.9,90.1,88.2
7.0,97.3,95.3
7.1,92.2,90.0
7.2,88.0,86.3
7.3,95.7,93.8
7.4,92.1,90.4
7.5,95.9,95.4
7.6,102.1,100.4
7.7,97.6,95.1
7.8,107.4,105.0
7.9,103.5,101.7
8.0,103.8,102.0
8.1,88.4,87.3
8.2,97.9,95.8
8.3,108.7,105.4
8.4,105.0,102.9
8.5,97.7,96.3
8.6,104.0,102.4
8.7,100.5,98.5
8.8,101.8,100.6
8.9,105.1,102.9
9.0,102.7,100.3
9.1,104.0,102.0
9.2,104.1,103.2
9.3,101.5,100.4
9.4,92.1,92.5
9.5,94.4,94.4
9.6,99.0,97.7
9.7,108.2,107.4
9.8,108.2,107.3
9.9,105.8,105.0
10.0,96.1,95.7
10.1,106.8,107.0
10.2,99.9,102.4
10.3,105.8,106.3
10.4,100.0,100.9
10.5,103.3,103.1
10.6,89.8,93.8
10.7,74.6,70.7
10.8,104.6,100.9
10.9,100.1,89.6
11.0,105.8,105.3
11.1,96.4,85.7
11.2,53.0,53.0
11.3,88.3,85.9
11.4,107.3,106.2
11.5,96.0,93.5
11.6,104.4,103.6
11.7,103.7,103.0
11.8,101.5,100.3
11.9,98.4,100.5
12.0,105.9,105.2
12.1,102.8,102.3
12.2,103.0,102.1
12.3,53.0,53.0
12.4,53.0,53.0
12.5,102.7,97.1
12.6,94.2,83.3
12.7,104.5,105.3
12.8,105.7,103.7
12.9,99.4,100.4
13.0,106.8,105.5
13.1,99.5,98.2
13.2,101.4,100.8
13.3,106.8,105.4
13.4,97.9,98.5
13.5,104.0,102.7
13.6,106.0,104.1
13.7,107.2,106.1
13.8,103.7,103.0
13.9,97.9,98.5
14.0,106.7,105.0
14.1,97.9,97.3
14.2,101.8,100.6
14.3,95.7,94.7
14.4,102.8,101.8
14.5,97.6,95.9
14.6,103.0,101.8
14.7,103.8,102.7
14.8,104.9,103.2
14.9,98.4,96.1
15.0,101.3,100.1
15.1,97.2,96.8
15.2,104.7,103.1
15.3,102.2,100.2
15.4,108.8,106.0
15.5,99.4,97.9
15.6,98.8,97.3
15.7,102.1,101.1
15.8,96.7,97.3
15.9,104.9,104.4
16.0,91.3,90.3
16.1,105.8,105.3
16.2,102.0,100.1
16.3,105.8,104.0
16.4,95.8,98.2
16.5,100.3,101.5
16.6,94.6,100.0
16.7,93.2,104.3
16.8,96.6,94.7
16.9,100.2,101.2
17.0,96.9,97.1
17.1,104.7,102.9
17.2,102.3,101.6
17.3,89.4,89.3
17.4,102.3,101.8
17.5,105.1,103.8
17.6,100.4,101.4
17.7,98.3,101.5
17.8,107.6,106.9
17.9,98.9,100.2
18.0,108.6,106.9
18.1,99.8,102.4
18.2,107.5,107.3
18.3,107.0,106.1
18.4,102.9,105.7
18.5,100.9,104.1
18.6,100.4,104.1
18.7,105.3,105.2
18.8,108.0,106.8
18.9,107.3,107.3
19.0,109.4,106.6
19.1,106.4,107.4
19.2,102.6,106.1
19.3,107.7,106.7
19.4,107.2,106.5
19.5,106.8,105.9
19.6,85.0,86.8
19.7,107.5,107.2
19.8,107.8,105.8
19.9,105.2,103.9
20.0,103.1,103.9
20.1,108.9,107.8
20.2,106.8,106.7
20.3,101.8,103.4
20.4,105.8,107.3
20.5,103.6,103.5
20.6,106.4,105.9
20.7,107.0,105.8
20.8,105.4,105.5
20.9,103.1,101.4
21.0,106.9,106.8
21.1,98.5,102.1
21.2,107.7,107.5
21.3,95.7,94.4
21.4,108.1,107.4
21.5,101.4,104.2
21.6,105.6,104.9
21.7,97.9,98.8
21.8,104.6,102.8
21.9,99.2,101.8
22.0,97.4,98.2
22.1,98.1,102.1
22.2,93.8,93.5
22.3,109.5,106.5
22.4,95.6,99.5
22.5,93.1,95.9
22.6,109.8,106.5
22.7,88.6,86.9
22.8,56.4,61.5
22.9,65.4,77.2
23.0,70.9,75.6
23.1,75.9,77.2
23.2,86.7,85.2
23.3,97.0,94.7
23.4,97.3,95.1
23.5,95.3,93.3
23.6,89.5,87.7
23.7,75.7,75.2
23.8,93.0,92.2
23.9,98.7,98.5
24.0,98.3,98.2
24.1,91.3,89.5
24.2,94.7,92.5
24.3,67.3,66.0
24.4,60.3,59.9
24.5,62.8,61.3
24.6,74.3,72.4
24.7,101.4,99.4
24.8,105.5,102.9
24.9,107.2,104.0
25.0,97.8,95.5
25.1,103.3,101.2
25.2,99.1,96.6
25.3,107.3,104.7
25.4,101.2,99.6
25.5,81.6,78.6
25.6,94.5,92.6
25.7,81.7,79.8
25.8,78.0,75.1
25.9,69.2,69.3
26.0,80.0,77.0
26.1,82.9,80.8
26.2,68.8,70.3
26.3,89.9,88.2
26.4,108.3,105.1
26.5,84.2,82.8
26.6,70.5,73.4
26.7,59.6,75.3
26.8,60.4,73.8
26.9,61.1,74.5
27.0,57.5,66.1
27.1,54.2,54.9
27.2,54.2,54.2
27.3,53.0,57.5
27.4,53.0,56.0
27.5,53.0,53.0
27.6,53.0,53.0
27.7,53.0,53.0
27.8,53.0,53.0
27.9,53.0,53.0
28.0,53.5,53.7
28.1,53.0,53.0
28.2,53.0,53.0
28.3,57.1,61.3
28.4,53.9,58.8
28.5,53.0,53.5
28.6,53.0,56.0
28.7,54.4,56.5
28.8,54.8,54.5
28.9,53.0,53.0
29.0,53.0,56.3
29.1,53.0,54.7
29.2,53.0,53.0
29.3,53.0,53.0
29.4,53.0,53.0
29.5,53.0,53.0
29.6,53.0,53.0
29.7,57.7,64.0
29.8,56.4,59.7
29.9,53.0,53.0
30.0,53.0,53.0
