Data Set 1:Time(s),Data Set 1:615 nm,Data Set 1:525 nm,Data Set 1:465 nm
0.000000,0.337476,0.431723,0.797019
1.000000,0.337476,0.431723,0.797019
2.000000,0.337476,0.431723,0.797019
3.000000,0.337476,0.431723,0.797019
4.000000,0.168738,0.215861,2.391058
5.000000,0.000000,0.647584,5.180625
6.000000,0.000000,0.431723,10.759761
7.000000,0.000000,1.295169,26.301638
8.000000,0.000000,2.158615,39.850967
9.000000,0.000000,3.022061,43.437553
10.000000,0.000000,3.885507,45.031593
11.000000,0.000000,4.748952,52.603275
12.000000,0.000000,4.748952,52.603275
13.000000,0.000000,8.634459,51.806255
14.000000,0.000000,27.414408,58.580921
15.000000,0.000000,47.921253,62.566021
16.000000,0.000000,52.886063,57.783901
17.000000,23.454571,19.211672,5.579134
18.000000,22.273405,16.621334,6.774663
19.000000,22.948359,16.405474,6.376156
20.000000,20.923502,14.894442,3.586586
21.000000,14.173985,9.497906,1.594039
22.000000,9.280586,5.396537,0.000000
23.000000,14.511462,5.612399,0.000000
24.000000,18.898647,6.907567,0.000000
25.000000,22.104670,6.691706,0.000000
26.000000,12.655344,4.317230,0.000000
27.000000,9.449324,3.453784,0.000000
28.000000,8.605634,0.215861,0.000000
29.000000,7.930682,0.000000,0.000000
30.000000,7.255731,0.000000,0.000000
31.000000,5.905828,0.000000,0.000000
32.000000,5.062138,0.000000,0.000000
33.000000,1.349903,0.647584,1.195529
34.000000,0.337476,0.431723,0.797019
35.000000,0.337476,0.431723,0.797019
36.000000,0.337476,0.431723,0.797019
37.000000,3.374758,3.237922,1.992548
38.000000,4.893400,5.180676,3.586587
39.000000,4.893400,6.259984,5.579136
40.000000,5.062138,6.475844,3.985097
