date,actual_mean_temp,actual_min_temp,actual_max_temp,actual_precipitation,record_min_temp,record_max_temp
2014-7-1,76,68,84,0.04,49,103
2014-7-2,66,58,74,0.12,48,99
2014-7-3,66,57,75,0.05,50,102
2014-7-4,70,60,79,0.00,49,101
2014-7-5,71,63,79,0.01,46,103
2014-7-6,78,66,89,0.00,49,105
2014-7-7,81,72,89,0.48,48,102
2014-7-8,77,70,84,0.48,49,106
2014-7-9,73,64,81,0.00,51,100
2014-7-10,71,63,78,0.00,51,106
2014-7-11,73,63,83,0.0,51,107
2014-7-12,76,70,81,3.31,55,100
2014-7-13,79,71,86,0.04,50,106
2014-7-14,73,64,81,0.37,52,104
2014-7-15,64,57,71,0.05,49,103
2014-7-16,65,56,73,0.00,49,100
2014-7-17,68,58,78,0.00,51,100
2014-7-18,73,64,81,0.00,53,101
2014-7-19,71,62,80,0.00,55,104
2014-7-20,75,66,84,0.00,50,103
2014-7-21,78,68,87,0.00,51,108
2014-7-22,82,72,91,0.19,49,104
2014-7-23,70,64,76,0.00,51,109
2014-7-24,68,60,75,0.00,55,107
2014-7-25,69,60,77,0.0,58,105
2014-7-26,78,70,85,0.00,53,102
2014-7-27,78,66,89,0.04,51,100
2014-7-28,68,62,73,0.00,53,100
2014-7-29,71,60,81,0.00,50,101
2014-7-30,71,61,80,0.00,51,104
2014-7-31,74,63,85,0.00,50,99
2014-8-1,75,67,83,0.21,52,100
2014-8-2,74,63,84,0.00,56,102
2014-8-3,77,66,87,0.00,52,101
2014-8-4,78,68,88,1.79,52,100
2014-8-5,74,68,80,0.07,52,100
2014-8-6,73,65,81,0.00,50,101
2014-8-7,75,69,81,0.00,53,96
2014-8-8,76,70,82,0.00,52,103
2014-8-9,74,68,80,0.00,51,104
2014-8-10,77,71,82,0.00,49,99
2014-8-11,76,68,84,1.16,50,100
2014-8-12,67,63,70,0.16,50,100
2014-8-13,71,59,83,0.00,52,101
2014-8-14,67,61,73,0.00,48,99
2014-8-15,67,55,79,0.00,48,98
2014-8-16,73,64,81,0.00,49,101
2014-8-17,69,66,72,0.00,48,99
2014-8-18,76,67,85,0.00,49,99
2014-8-19,80,73,86,0.13,49,99
2014-8-20,78,68,87,0.00,47,98
2014-8-21,77,71,83,1.29,46,99
2014-8-22,81,74,87,3.17,51,103
2014-8-23,79,71,87,0.50,52,97
2014-8-24,81,73,89,0.00,48,100
2014-8-25,83,73,92,0.78,47,95
2014-8-26,79,72,86,0.00,48,97
2014-8-27,76,70,81,0.00,46,97
2014-8-28,73,69,77,0.02,46,97
2014-8-29,81,73,88,0.00,43,98
2014-8-30,80,74,86,0.0,47,96
2014-8-31,79,71,87,0.00,46,99
2014-9-1,80,74,85,0.0,45,101
2014-9-2,77,69,85,0.00,44,101
2014-9-3,76,67,85,0.00,47,97
2014-9-4,80,73,87,0.22,43,95
2014-9-5,78,67,89,0.43,48,97
2014-9-6,69,62,76,0.00,46,98
2014-9-7,69,58,79,0.00,46,101
2014-9-8,70,60,79,0.00,45,98
2014-9-9,74,66,81,0.01,47,95
2014-9-10,70,58,82,1.61,44,96
2014-9-11,55,52,58,0.00,44,95
2014-9-12,52,46,57,0.10,44,96
2014-9-13,51,42,60,0.01,40,99
2014-9-14,57,46,67,0.00,42,101
2014-9-15,58,54,62,0.0,41,102
2014-9-16,58,47,69,0.00,39,93
2014-9-17,61,49,72,0.00,39,93
2014-9-18,63,53,72,0.00,39,94
2014-9-19,67,57,76,0.00,37,93
2014-9-20,72,63,80,0.12,38,92
2014-9-21,61,52,70,0.0,40,92
2014-9-22,59,48,69,0.00,34,93
2014-9-23,63,50,76,0.00,35,93
2014-9-24,66,54,77,0.00,30,91
2014-9-25,68,58,78,0.00,30,91
2014-9-26,70,59,81,0.00,30,93
2014-9-27,70,61,79,0.00,31,91
2014-9-28,69,58,79,0.00,29,92
2014-9-29,71,57,84,0.0,33,99
2014-9-30,56,51,61,0.0,34,92
2014-10-1,63,52,73,0.0,32,92
2014-10-2,71,66,75,0.71,28,91
2014-10-3,57,46,68,1.05,29,91
2014-10-4,43,37,49,0.05,34,90
2014-10-5,49,42,56,0.0,31,89
2014-10-6,56,48,63,0.01,28,94
2014-10-7,59,49,69,0.00,31,88
2014-10-8,58,48,67,0.00,30,88
2014-10-9,57,50,64,0.00,32,87
2014-10-10,52,44,59,0.00,27,87
2014-10-11,50,40,60,0.00,29,88
2014-10-12,55,45,64,0.01,30,86
2014-10-13,65,59,71,0.44,30,88
2014-10-14,61,54,67,1.18,28,89
2014-10-15,56,53,58,0.07,29,88
2014-10-16,56,53,58,0.0,30,87
2014-10-17,56,49,63,0.01,26,86
2014-10-18,46,39,52,0.02,20,87
2014-10-19,47,36,57,0.00,24,84
2014-10-20,58,50,66,0.00,20,86
2014-10-21,52,49,54,0.00,26,87
2014-10-22,50,43,56,0.00,24,87
2014-10-23,52,41,62,0.0,25,85
2014-10-24,61,54,68,0.00,20,83
2014-10-25,64,52,75,0.00,25,79
2014-10-26,55,44,66,0.00,22,84
2014-10-27,67,54,79,0.02,24,82
2014-10-28,57,48,66,0.03,25,81
2014-10-29,45,40,49,0.00,22,79
2014-10-30,45,37,53,0.0,25,85
2014-10-31,42,34,49,0.04,27,84
2014-11-1,39,33,44,0.0,22,81
2014-11-2,41,29,53,0.00,14,78
2014-11-3,55,45,64,0.00,11,76
2014-11-4,53,45,61,0.02,15,74
2014-11-5,51,39,63,0.0,11,79
2014-11-6,46,40,52,0.0,19,75
2014-11-7,41,37,45,0.00,16,74
2014-11-8,44,39,49,0.0,14,74
2014-11-9,45,36,53,0.00,16,75
2014-11-10,55,44,65,0.00,17,71
2014-11-11,47,33,61,0.23,15,74
2014-11-12,30,27,33,0.0,10,70
2014-11-13,29,26,31,0.0,7,74
2014-11-14,27,24,29,0.0,12,78
2014-11-15,27,21,33,0.0,8,72
2014-11-16,29,25,33,0.0,5,73
2014-11-17,19,13,25,0.0,3,74
2014-11-18,17,12,21,0.0,12,72
2014-11-19,26,19,33,0.0,17,77
2014-11-20,24,17,30,0.00,14,69
2014-11-21,25,13,36,0.0,7,66
2014-11-22,44,34,54,0.05,2,67
2014-11-23,52,50,54,0.62,-1,70
2014-11-24,39,27,51,0.35,-2,69
2014-11-25,26,22,30,0.0,0,61
2014-11-26,27,22,32,0.0,2,68
2014-11-27,25,19,30,0.0,0,70
2014-11-28,28,20,36,0.0,-3,69
2014-11-29,44,33,54,0.00,-1,69
2014-11-30,43,29,56,0.0,-1,66
2014-12-1,25,21,29,0.0,5,68
2014-12-2,28,22,33,0.0,-1,69
2014-12-3,33,26,39,0.00,-8,72
2014-12-4,31,25,37,0.00,3,68
2014-12-5,38,35,41,0.00,7,68
2014-12-6,39,34,43,0.00,0,65
2014-12-7,35,30,39,0.00,-2,61
2014-12-8,37,35,39,0.10,0,64
2014-12-9,37,33,40,0.02,-8,61
2014-12-10,34,31,36,0.0,-8,60
2014-12-11,30,26,34,0.00,-5,61
2014-12-12,32,25,39,0.0,-7,62
2014-12-13,43,37,49,0.00,-3,67
2014-12-14,50,47,53,0.0,-4,66
2014-12-15,46,43,48,0.12,-8,64
2014-12-16,40,32,47,0.02,-12,63
2014-12-17,29,26,32,0.0,-7,60
2014-12-18,28,25,31,0.0,-9,59
2014-12-19,32,29,34,0.0,-12,56
2014-12-20,34,32,35,0.0,-9,59
2014-12-21,36,34,38,0.00,-13,62
2014-12-22,38,31,44,0.28,-12,57
2014-12-23,46,42,50,0.12,-17,60
2014-12-24,41,38,43,0.12,-20,59
2014-12-25,40,35,44,0.00,-13,64
2014-12-26,45,38,51,0.00,-9,55
2014-12-27,41,32,50,0.0,-12,61
2014-12-28,31,26,36,0.00,-3,67
2014-12-29,30,24,35,0.00,-8,64
2014-12-30,19,13,24,0.00,-8,60
2014-12-31,13,6,20,0.00,-10,60
2015-1-1,25,17,32,0.00,-10,52
2015-1-2,28,20,36,0.00,-13,61
2015-1-3,34,31,37,0.55,-12,60
2015-1-4,21,5,36,0.10,-8,64
2015-1-5,5,-1,10,0.11,-15,56
2015-1-6,9,5,12,0.0,-15,60
2015-1-7,2,-4,8,0.00,-14,65
2015-1-8,7,-7,20,0.05,-12,63
2015-1-9,10,3,16,0.0,-17,57
2015-1-10,13,0,26,0.00,-22,60
2015-1-11,30,25,34,0.12,-11,54
2015-1-12,25,19,30,0.03,-9,62
2015-1-13,18,13,23,0.0,-10,56
2015-1-14,13,5,21,0.00,-14,56
2015-1-15,27,17,36,0.00,-19,60
2015-1-16,29,22,35,0.00,-19,56
2015-1-17,37,30,44,0.00,-17,58
2015-1-18,37,31,43,0.00,-20,61
2015-1-19,35,27,43,0.0,-21,57
2015-1-20,37,33,40,0.01,-25,53
2015-1-21,34,31,36,0.0,-17,57
2015-1-22,32,30,34,0.00,-17,58
2015-1-23,32,30,34,0.00,-19,59
2015-1-24,39,32,45,0.00,-16,65
2015-1-25,32,26,38,0.06,-10,67
2015-1-26,25,21,29,0.04,-10,62
2015-1-27,29,24,33,0.0,-10,61
2015-1-28,30,24,36,0.03,-13,55
2015-1-29,35,31,39,0.0,-16,61
2015-1-30,28,23,32,0.0,-15,55
2015-1-31,31,23,39,0.13,-9,67
2015-2-1,27,21,33,0.12,-9,56
2015-2-2,16,9,22,0.0,-15,51
2015-2-3,19,8,30,0.05,-17,60
2015-2-4,21,12,30,0.0,-12,54
2015-2-5,10,3,17,0.00,-17,56
2015-2-6,24,15,32,0.00,-12,56
2015-2-7,35,25,44,0.00,-5,59
2015-2-8,37,31,42,0.0,-12,61
2015-2-9,29,26,31,0.0,-20,57
2015-2-10,29,25,33,0.0,-12,62
2015-2-11,30,21,38,0.0,-8,71
2015-2-12,16,11,21,0.0,-10,61
2015-2-13,18,7,29,0.0,-5,63
2015-2-14,17,4,29,0.0,-5,62
2015-2-15,9,0,17,0.0,-6,69
2015-2-16,14,8,19,0.00,-7,53
2015-2-17,17,11,22,0.0,-10,58
2015-2-18,6,0,11,0.0,-16,62
2015-2-19,1,-5,7,0.00,-8,65
2015-2-20,10,-1,20,0.0,-9,65
2015-2-21,26,19,33,0.00,-6,66
2015-2-22,19,7,30,0.00,-7,63
2015-2-23,8,0,15,0.00,0,66
2015-2-24,19,6,32,0.0,-5,64
2015-2-25,22,16,28,0.06,-5,73
2015-2-26,15,7,22,0.01,-1,64
2015-2-27,9,0,17,0.00,-6,75
2015-2-28,12,1,23,0.0,1,59
2015-3-1,23,18,27,0.01,-5,71
2015-3-2,25,16,34,0.00,-4,71
2015-3-3,32,27,37,0.10,-6,80
